"","tool","project","target_class","isAssertion","coverage_rate"
"61","BBC-F0-10","Jsoup-86","org.jsoup.nodes.Comment",0,0
"62","BBC-F0-10","Jsoup-89","org.jsoup.nodes.Attribute",0,30
"63","BBC-F0-10","Jsoup-90","org.jsoup.helper.HttpConnection",0,0
"64","BBC-F0-10","JxPath-13","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"65","BBC-F0-10","JxPath-13","org.apache.commons.jxpath.ri.NamespaceResolver",0,0
"66","BBC-F0-10","JxPath-16","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"67","BBC-F0-10","JxPath-16","org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer",0,0
"68","BBC-F0-10","JxPath-22","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"69","BBC-F0-10","Lang-1","org.apache.commons.lang3.math.NumberUtils",0,0
"70","BBC-F0-10","Lang-5","org.apache.commons.lang3.LocaleUtils",0,0
"71","BBC-F0-10","Lang-6","org.apache.commons.lang3.text.translate.CharSequenceTranslator",0,0
"72","BBC-F0-10","Math-1","org.apache.commons.math3.fraction.BigFraction",0,29
"73","BBC-F0-10","Math-1","org.apache.commons.math3.fraction.Fraction",0,30
"74","BBC-F0-10","Math-3","org.apache.commons.math3.util.MathArrays",0,11
"75","BBC-F0-10","Math-4","org.apache.commons.math3.geometry.euclidean.threed.SubLine",0,24
"76","BBC-F0-10","Math-4","org.apache.commons.math3.geometry.euclidean.twod.SubLine",0,26
"77","BBC-F0-10","Math-8","org.apache.commons.math3.distribution.DiscreteDistribution",0,15
"78","BBC-F0-10","Mockito-1","org.mockito.internal.invocation.InvocationMatcher",0,0
"79","BBC-F0-10","Mockito-18","org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues",0,30
"80","BBC-F0-10","Mockito-20","org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker",0,0
"81","BBC-F0-10","Mockito-3","org.mockito.internal.invocation.InvocationMatcher",0,0
"82","BBC-F0-10","Mockito-4","org.mockito.exceptions.Reporter",0,0
"83","BBC-F0-10","Mockito-6","org.mockito.Matchers",0,0
"84","BBC-F0-10","Mockito-7","org.mockito.internal.util.reflection.GenericMetadataSupport",0,0
"85","BBC-F0-10","Time-10","org.joda.time.base.BaseSingleFieldPeriod",0,2
"86","BBC-F0-10","Time-2","org.joda.time.field.UnsupportedDurationField",0,0
"87","BBC-F0-10","Time-2","org.joda.time.Partial",0,0
"88","BBC-F0-10","Time-3","org.joda.time.MutableDateTime",0,0
"89","BBC-F0-10","Time-5","org.joda.time.Period",0,30
"90","BBC-F0-10","Time-6","org.joda.time.chrono.GJChronology",0,17
"91","BBC-F0-10","Time-7","org.joda.time.format.DateTimeFormatter",0,1
"92","BBC-F0-10","Time-8","org.joda.time.DateTimeZone",0,0
"93","BBC-F0-100","Chart-10","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator",0,0
"94","BBC-F0-100","Chart-2","org.jfree.data.general.DatasetUtilities",0,30
"95","BBC-F0-100","Chart-4","org.jfree.chart.plot.XYPlot",0,22
"96","BBC-F0-100","Chart-5","org.jfree.data.xy.XYSeries",0,0
"97","BBC-F0-100","Chart-9","org.jfree.data.time.TimeSeries",0,0
"98","BBC-F0-100","Cli-31","org.apache.commons.cli.HelpFormatter",0,0
"99","BBC-F0-100","Cli-31","org.apache.commons.cli.Option",0,0
"100","BBC-F0-100","Cli-31","org.apache.commons.cli.OptionBuilder",0,0
"101","BBC-F0-100","Cli-32","org.apache.commons.cli.HelpFormatter",0,25
"102","BBC-F0-100","Cli-33","org.apache.commons.cli.HelpFormatter",0,0
"103","BBC-F0-100","Cli-35","org.apache.commons.cli.Options",0,0
"104","BBC-F0-100","Closure-108","com.google.javascript.jscomp.ScopedAliases",0,0
"105","BBC-F0-100","Codec-10","org.apache.commons.codec.language.Caverphone",0,0
"106","BBC-F0-100","Codec-11","org.apache.commons.codec.net.QuotedPrintableCodec",0,30
"107","BBC-F0-100","Codec-13","org.apache.commons.codec.binary.StringUtils",0,0
"108","BBC-F0-100","Codec-13","org.apache.commons.codec.language.DoubleMetaphone",0,30
"109","BBC-F0-100","Codec-16","org.apache.commons.codec.binary.Base32",0,0
"110","BBC-F0-100","Codec-17","org.apache.commons.codec.binary.StringUtils",0,30
"111","BBC-F0-100","Codec-18","org.apache.commons.codec.binary.StringUtils",0,0
"112","BBC-F0-100","Codec-9","org.apache.commons.codec.binary.Base64",0,0
"113","BBC-F0-100","Collections-25","org.apache.commons.collections4.IteratorUtils",0,0
"114","BBC-F0-100","Collections-28","org.apache.commons.collections4.trie.AbstractPatriciaTrie",0,0
"115","BBC-F0-100","Compress-38","org.apache.commons.compress.archivers.tar.TarArchiveEntry",0,0
"116","BBC-F0-100","Compress-45","org.apache.commons.compress.archivers.tar.TarUtils",0,0
